Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 1:53:20,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:53:20,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:03:44,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:03:44,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:04:36,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:04:36,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:04:47,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:04:47,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:05:07,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:05:07,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:12:21,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:12:21,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:16:49,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:16:49,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:17:06,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:17:06,Thursday,1,0.375
2022년 3월 10일,3601,4,4,5947,Access View,2022-03-10 오후 2:17:12,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:17:12,Thursday,1,0.375
2022년 3월 10일,3598,4,4,5947,Access View,2022-03-10 오후 2:17:50,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:17:50,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:18:11,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:18:11,Thursday,1,0.375
2022년 3월 10일,3601,4,4,5947,Access View,2022-03-10 오후 2:18:25,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:18:25,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:19:17,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:19:17,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:19:22,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:19:22,Thursday,1,0.375
2022년 3월 10일,3598,4,4,5947,Access View,2022-03-10 오후 2:19:28,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:19:28,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:19:37,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:19:37,Thursday,1,0.375
2022년 3월 10일,3598,4,4,5947,Access View,2022-03-10 오후 2:19:54,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:19:54,Thursday,1,0.375
2022년 3월 10일,3601,4,4,5947,Access View,2022-03-10 오후 2:20:07,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:20:07,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:21:08,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:21:08,Thursday,1,0.375
2022년 3월 10일,3599,4,4,5947,Access View,2022-03-10 오후 2:21:13,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:21:13,Thursday,1,0.375
2022년 3월 10일,3598,4,4,5947,Access View,2022-03-10 오후 2:21:18,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:21:18,Thursday,1,0.375
2022년 3월 10일,3600,4,4,5947,Access View,2022-03-10 오후 2:45:59,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:45:59,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 2:47:25,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:47:25,Thursday,1,0.375
2022년 3월 10일,3602,4,4,5947,Access View,2022-03-10 오후 2:47:55,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:47:55,Thursday,1,0.375
2022년 3월 10일,3602,4,4,5947,Access View,2022-03-10 오후 2:55:00,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:55:00,Thursday,1,0.375
2022년 3월 10일,3603,4,4,5947,Access View,2022-03-10 오후 2:55:25,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:55:25,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 2:56:13,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:56:13,Thursday,1,0.375
2022년 3월 10일,3603,4,4,5947,Access View,2022-03-10 오후 2:56:24,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 5:56:24,Thursday,1,0.375
2022년 3월 10일,3604,4,4,5947,Access View,2022-03-10 오후 2:57:16,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 5:57:16,Thursday,1,0.375
2022년 3월 10일,3605,4,4,5947,Access View,2022-03-10 오후 2:57:50,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:57:50,Thursday,1,0.375
2022년 3월 10일,3602,4,4,5947,Access View,2022-03-10 오후 2:58:18,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 5:58:18,Thursday,1,0.375
