name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
EIS,4,4,553,admin,Access View,2021-09-23 오후 3:12:53,재무제표 및 부문별 정보,경영현황,Default,Access View ,2021-09-23 오전 6:12:53,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 3:36:55,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 6:36:55,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 4:17:42,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 7:17:42,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 4:19:53,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 7:19:53,1,0.375
EIS,4,4,557,admin,Access View,2021-09-23 오후 4:26:58,매출손익2,경영현황,Default,Access View ,2021-09-23 오전 7:26:58,1,0.375
기본값,3,1,26,admin,Access View,2021-09-23 오후 4:33:50,인력운영 정보,현산_인사,Default,Access View ,2021-09-23 오전 7:33:50,1,0.375
기본값,3,1,27,admin,Access View,2021-09-23 오후 4:34:03,인사정보,현산_인사,Default,Access View ,2021-09-23 오전 7:34:03,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 4:40:07,자금,재무현황,Default,Access View ,2021-09-23 오전 7:40:07,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 4:40:17,자금,재무현황,Default,Access View ,2021-09-23 오전 7:40:17,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 4:40:24,자금,재무현황,Default,Access View ,2021-09-23 오전 7:40:24,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 4:44:06,자금,재무현황,Default,Access View ,2021-09-23 오전 7:44:06,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 4:56:37,자금,재무현황,Default,Access View ,2021-09-23 오전 7:56:37,1,0.375
EIS,4,4,630,admin,Access View,2021-09-23 오후 4:57:23,재무제표 및 부문별 정보,경영현황,Default,Access View ,2021-09-23 오전 7:57:23,1,0.375
EIS,4,4,631,admin,Access View,2021-09-23 오후 4:57:50,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 7:57:50,1,0.375
EIS,4,4,631,admin,Access View,2021-09-23 오후 4:58:17,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 7:58:17,1,0.375
EIS,4,4,637,admin,Access View,2021-09-23 오후 4:58:32,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 7:58:32,1,0.375
EIS,4,4,637,admin,Access View,2021-09-23 오후 5:30:12,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 8:30:12,1,0.375
EIS,4,4,643,admin,Access View,2021-09-23 오후 5:42:18,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 8:42:18,1,0.375
EIS,4,4,643,admin,Access View,2021-09-23 오후 5:42:26,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 8:42:26,1,0.375
EIS,4,4,643,admin,Access View,2021-09-23 오후 5:55:46,주요 재무 현황 및 지표,경영현황,Default,Access View ,2021-09-23 오전 8:55:46,1,0.375
기본값,3,1,152,admin,Access View,2021-09-23 오후 9:40:32,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-23 오후 12:40:32,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오후 9:40:54,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오후 12:40:54,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오후 9:41:11,자금,재무현황,Default,Access View ,2021-09-23 오후 12:41:11,1,0.375
기본값,3,1,26,admin,Access View,2021-09-23 오후 9:41:19,인력운영 정보,현산_인사,Default,Access View ,2021-09-23 오후 12:41:19,1,0.375
기본값,3,1,123,admin,Access View,2021-09-23 오후 9:41:25,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-23 오후 12:41:25,1,0.375
기본값,3,1,26,admin,Access View,2021-09-23 오후 9:41:53,인력운영 정보,현산_인사,Default,Access View ,2021-09-23 오후 12:41:53,1,0.375
기본값,3,1,123,admin,Access View,2021-09-23 오후 9:41:55,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-23 오후 12:41:55,1,0.375
EIS,4,4,648,admin,Access View,2021-09-24 오전 9:26:39,카드,영업현황,Default,Access View ,2021-09-24 오전 12:26:39,1,0.375
EIS,4,4,649,admin,Access View,2021-09-24 오전 9:28:44,현황(부문),영업현황,Default,Access View ,2021-09-24 오전 12:28:44,1,0.375
기본값,3,1,306,admin,Access View,2021-09-24 오전 9:48:53,카드,"수주, 공급, 판매",Default,Access View ,2021-09-24 오전 12:48:53,1,0.375
EIS,4,4,645,admin,Access View,2021-09-24 오전 9:49:08,카드지표ver2,경영현황,Default,Access View ,2021-09-24 오전 12:49:08,1,0.375
EIS,4,4,644,admin,Access View,2021-09-24 오전 9:49:24,카드지표,경영현황,Default,Access View ,2021-09-24 오전 12:49:24,1,0.375
EIS,4,4,645,admin,Access View,2021-09-24 오전 9:49:30,카드지표ver2,경영현황,Default,Access View ,2021-09-24 오전 12:49:30,1,0.375
EIS,4,4,653,admin,Access View,2021-09-24 오전 10:07:04,카드,영업현황,Default,Access View ,2021-09-24 오전 1:07:04,1,0.375
EIS,4,4,653,admin,Access View,2021-09-24 오전 10:07:08,카드,영업현황,Default,Access View ,2021-09-24 오전 1:07:08,1,0.375
